transaction_id,amount,merchant_category,hour_of_day,day_of_week,distance_from_home,num_transactions_24h,account_age_months,avg_transaction_amount,is_foreign,is_fraud
T0001,116.7,restaurant,20,5,8.1,2,56,85.16,0,0
T0002,441.67,gas_station,0,5,8.99,4,28,49.1,0,0
T0003,404.56,pharmacy,17,1,1.25,1,47,71.94,0,0
T0004,131.91,electronics,12,4,17.25,3,51,121.53,0,0
T0005,422.91,electronics,18,0,12.35,3,87,35.45,0,0
T0006,3832.28,gas_station,19,1,173.22,17,74,82.9,1,1
T0007,318.12,electronics,5,3,13.87,2,37,36.66,0,0
T0008,226.05,grocery,15,1,1.07,3,25,164.89,0,0
T0009,253.21,gas_station,22,6,9.9,4,57,102.85,0,0
T0010,2185.16,restaurant,17,2,404.42,13,22,158.34,0,1
T0011,386.5,electronics,3,2,9.91,1,100,113.19,0,0
T0012,271.48,electronics,6,3,15.14,4,14,149.84,0,0
T0013,124.52,gas_station,8,2,17.5,1,111,165.18,0,0
T0014,496.98,restaurant,23,4,15.51,2,89,76.62,0,0
T0015,316.75,pharmacy,6,6,3.32,2,27,163.03,0,0
T0016,266.61,online,22,2,11.94,2,38,118.82,0,0
T0017,257.69,restaurant,13,0,18.0,1,36,174.74,0,0
T0018,7196.47,pharmacy,21,3,199.87,12,63,37.01,1,1
T0019,314.28,travel,2,3,7.5,1,66,152.46,0,0
T0020,438.78,online,18,0,9.09,4,112,157.09,0,0
T0021,365.74,pharmacy,2,6,9.17,3,69,85.57,0,0
T0022,412.6,pharmacy,9,2,9.89,3,71,119.81,0,0
T0023,243.18,grocery,3,5,6.87,1,101,168.97,0,0
T0024,7576.6,restaurant,22,1,163.19,18,113,133.5,1,1
T0025,466.43,online,2,2,5.48,3,86,181.72,0,0
T0026,198.77,gas_station,20,0,6.11,2,91,28.08,0,0
T0027,39.89,grocery,0,5,11.87,4,44,165.25,0,0
T0028,211.73,restaurant,12,0,2.64,1,94,163.13,0,0
T0029,4205.37,travel,21,1,219.7,9,9,110.8,0,1
T0030,5900.12,gas_station,19,5,276.04,9,57,173.39,1,1
T0031,2602.79,online,13,2,400.98,17,102,36.57,1,1
T0032,43.04,pharmacy,22,0,11.07,3,109,170.94,0,0
T0033,103.52,travel,12,2,12.14,2,83,20.37,0,0
T0034,477.38,restaurant,15,5,9.9,1,77,23.49,0,0
T0035,7.02,restaurant,12,6,7.22,3,108,117.99,0,0
T0036,341.79,grocery,18,0,15.25,1,2,59.82,0,0
T0037,2362.81,gas_station,22,3,415.72,18,11,131.7,1,1
T0038,77.19,electronics,6,6,1.67,1,20,111.91,0,0
T0039,317.51,online,22,3,16.69,1,94,191.15,0,0
T0040,123.0,gas_station,19,4,18.49,1,8,68.77,0,0
