loan_id,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,education,default
L001,94228,48079,655,8,2,14.2,36,0.14,phd,0
L002,75028,34730,624,84,2,16.3,36,0.19,bachelor,0
L003,118885,45490,475,70,8,12.9,60,0.5,phd,1
L004,74287,22902,560,30,6,9.4,48,0.55,phd,1
L005,89066,48721,607,154,1,3.1,48,0.13,bachelor,0
L006,120578,13993,841,2,8,14.2,36,0.25,bachelor,0
L007,69834,39903,810,172,6,4.1,24,0.24,phd,0
L008,22456,35130,489,148,7,11.6,60,0.62,master,1
L009,35096,31544,460,44,8,15.5,48,0.68,high_school,1
L010,77240,11937,574,21,7,16.1,48,0.36,bachelor,0
L011,63655,56060,536,136,4,16.6,48,0.15,master,0
L012,115339,58670,780,38,5,6.0,36,0.59,high_school,0
L013,43218,55649,771,149,8,13.2,48,0.4,master,0
L014,39786,33820,484,71,1,8.3,24,0.38,master,0
L015,80521,34616,469,20,2,12.2,60,0.13,phd,0
L016,96064,41327,828,147,4,7.8,60,0.64,bachelor,0
L017,145530,9054,680,88,2,10.6,36,0.16,high_school,0
L018,52472,51374,674,157,3,8.5,48,0.69,phd,0
L019,73578,55755,623,162,6,4.0,24,0.51,phd,1
L020,57243,21514,820,155,3,8.0,36,0.61,master,0
L021,60662,47995,807,22,5,11.4,48,0.5,bachelor,1
L022,107833,51060,828,24,7,10.6,24,0.7,master,0
L023,60483,16813,559,50,4,18.0,36,0.31,high_school,0
L024,58770,56650,501,135,1,12.9,36,0.4,phd,0
L025,40218,15633,542,160,3,13.8,24,0.6,phd,1
L026,67749,49326,818,73,8,6.5,36,0.24,master,0
L027,146562,57993,690,174,8,9.9,48,0.64,phd,0
L028,85916,39567,664,155,3,16.1,24,0.68,phd,0
L029,134572,29327,733,133,2,7.3,36,0.66,master,0
L030,78893,38643,525,24,4,15.3,48,0.6,high_school,1
L031,74381,8490,652,21,6,6.4,48,0.4,high_school,0
L032,129992,51838,782,10,5,16.8,60,0.3,bachelor,1
L033,119462,51238,690,21,1,6.8,36,0.37,phd,1
L034,34573,55867,597,62,7,12.6,60,0.24,high_school,1
L035,34530,59833,705,132,4,13.8,48,0.46,phd,1
L036,20205,45292,630,171,2,10.9,48,0.24,high_school,0
L037,144964,39475,728,142,1,8.9,60,0.4,high_school,0
L038,103318,30354,641,18,6,6.6,24,0.25,master,1
L039,37486,7905,630,45,8,17.7,60,0.43,bachelor,0
L040,126364,13837,482,118,1,7.4,24,0.53,bachelor,1
L041,136102,7746,611,140,8,6.8,36,0.66,master,0
L042,66789,56173,474,85,5,4.9,48,0.62,phd,1
L043,136586,31215,830,87,3,10.4,60,0.36,master,0
L044,141151,57251,715,109,2,9.5,36,0.26,master,1
L045,62101,11723,490,115,7,5.5,60,0.3,master,0
L046,78606,7775,822,112,5,12.6,24,0.62,high_school,0
L047,107973,46780,657,174,3,17.3,36,0.32,phd,0
L048,24561,13272,484,93,7,17.2,24,0.24,bachelor,0
L049,109006,34486,639,147,3,10.9,60,0.32,master,0
L050,105139,23264,577,7,3,10.5,60,0.68,high_school,1
L051,54311,55788,583,55,5,13.4,60,0.52,bachelor,1
L052,36074,13895,487,114,2,15.2,48,0.37,master,0
L053,113000,9255,731,41,3,14.9,36,0.43,high_school,0
L054,149123,18171,521,93,6,10.0,36,0.24,high_school,0
L055,28617,25269,653,135,7,14.5,24,0.7,bachelor,0
L056,147451,25776,778,133,6,4.9,36,0.14,bachelor,0
L057,76704,37955,478,133,3,7.6,36,0.6,master,1
L058,142517,51486,565,73,2,6.8,48,0.31,bachelor,0
L059,101922,24845,764,44,3,5.6,48,0.42,high_school,0
L060,128165,6859,491,148,5,12.8,60,0.13,high_school,0
L061,85278,46101,729,124,4,15.1,60,0.27,master,0
L062,79446,9782,802,124,8,6.1,36,0.14,master,0
L063,132916,52078,613,103,3,14.4,24,0.54,master,0
L064,51685,35570,512,25,1,7.4,60,0.26,phd,0
L065,52541,15466,617,49,3,10.5,60,0.66,phd,0
L066,135222,25220,704,130,8,17.5,36,0.11,master,0
L067,26377,8312,594,168,8,7.3,24,0.4,high_school,0
L068,76482,13777,585,104,6,3.7,24,0.54,bachelor,1
L069,67516,41256,597,141,5,15.4,24,0.14,bachelor,0
L070,147806,11336,651,143,6,14.3,36,0.32,phd,0
L071,85546,7638,473,122,8,5.2,36,0.12,master,0
L072,142076,45178,613,77,6,10.6,60,0.2,master,0
L073,82245,58460,458,107,5,15.0,24,0.32,phd,0
L074,54803,47964,850,59,1,11.8,36,0.68,phd,0
L075,39369,58848,798,180,2,5.9,60,0.25,master,0
L076,74890,14924,661,157,8,16.1,24,0.51,bachelor,0
L077,87984,18588,737,135,7,7.7,36,0.3,phd,0
L078,139553,39939,625,175,5,12.2,36,0.43,bachelor,0
L079,56569,41574,602,77,5,13.6,60,0.23,master,0
L080,82888,27859,736,71,5,4.8,60,0.66,phd,0
L081,127266,27618,845,74,2,8.2,60,0.58,master,0
L082,117955,36396,559,144,5,5.1,36,0.22,bachelor,0
L083,26653,48898,721,26,7,8.0,60,0.24,high_school,0
L084,109285,55512,520,41,7,12.8,60,0.1,phd,0
L085,105267,18071,837,166,1,16.6,24,0.68,bachelor,0
L086,90143,53410,820,45,7,16.2,36,0.61,high_school,1
L087,129602,31017,703,75,1,3.1,24,0.21,master,0
L088,57298,34776,778,35,8,7.1,24,0.43,master,0
L089,41298,52914,684,4,6,14.9,36,0.49,bachelor,0
L090,100079,46859,657,23,7,13.0,36,0.6,bachelor,0
L091,82580,26207,577,115,5,17.3,48,0.1,high_school,0
L092,54282,47839,634,31,8,7.6,60,0.52,master,1
L093,110477,12694,777,158,4,6.3,36,0.65,phd,0
L094,40078,34817,832,180,8,14.4,36,0.69,bachelor,0
L095,109173,54462,755,115,6,4.2,24,0.62,high_school,1
L096,128629,40890,708,43,6,15.8,60,0.22,high_school,0
L097,109167,18461,817,131,8,15.1,60,0.45,bachelor,1
L098,87272,32225,683,173,5,13.8,60,0.44,master,0
L099,127014,5197,831,109,6,13.5,24,0.23,high_school,1
L100,149254,35937,466,35,7,8.6,60,0.27,phd,0
L101,133982,29739,642,139,3,12.8,48,0.15,high_school,0
L102,43392,40209,651,58,1,14.3,48,0.42,phd,0
L103,108276,52126,728,59,4,9.9,36,0.35,master,0
L104,44704,52515,841,108,1,6.6,24,0.17,high_school,0
L105,97849,7200,678,13,4,14.1,60,0.46,phd,0
L106,50715,40373,561,15,3,10.6,48,0.55,bachelor,1
L107,126926,52940,744,173,6,6.6,36,0.29,bachelor,0
L108,74206,24693,590,45,7,11.3,24,0.14,master,0
L109,143415,47160,793,179,7,9.1,48,0.33,phd,0
L110,44101,54441,725,77,3,15.1,24,0.38,phd,0
L111,146849,32296,735,66,4,8.0,24,0.42,phd,0
L112,131035,29318,497,14,5,8.7,24,0.42,high_school,0
L113,44662,57733,839,56,8,6.1,48,0.45,master,0
L114,145438,6004,558,31,8,16.7,36,0.66,phd,1
L115,139947,20684,732,120,6,7.6,48,0.29,phd,0
L116,81080,11462,819,53,6,7.7,24,0.38,bachelor,0
